iter	Passed	Remaining
276	552	1442
277	554	1439
278	555	1435
279	557	1433
280	559	1431
281	561	1428
282	563	1426
283	564	1424
284	566	1421
285	568	1418
286	569	1415
287	571	1412
288	572	1409
289	574	1406
290	576	1405
291	578	1402
292	580	1400
293	581	1397
294	583	1394
295	585	1391
296	587	1390
297	589	1387
298	590	1384
299	592	1381
300	593	1378
301	595	1375
302	596	1372
303	598	1370
304	600	1367
305	601	1364
306	603	1361
307	604	1359
308	606	1356
309	608	1353
310	611	1354
311	613	1352
312	615	1350
313	616	1347
314	618	1345
315	620	1343
316	622	1341
317	624	1340
318	626	1337
319	628	1335
320	630	1332
321	632	1330
322	633	1328
323	635	1326
324	638	1327
325	641	1326
326	644	1325
327	645	1323
328	647	1320
329	649	1318
330	650	1315
331	652	1312
332	653	1309
333	655	1307
334	657	1305
335	659	1302
336	660	1299
337	662	1297
338	664	1295
339	666	1292
340	667	1290
341	669	1288
342	671	1286
343	676	1290
344	677	1287
345	680	1286
346	682	1284
347	687	1287
348	689	1286
349	693	1288
350	695	1285
351	697	1284
352	699	1282
353	703	1283
354	705	1281
355	706	1278
356	708	1275
357	709	1272
358	711	1269
359	712	1266
360	713	1263
361	715	1261
362	717	1258
363	718	1255
364	721	1255
365	723	1252
366	724	1249
367	726	1246
368	727	1244
369	729	1242
370	731	1239
371	732	1237
372	734	1234
373	736	1232
374	737	1229
375	739	1226
376	741	1224
377	742	1222
378	744	1219
379	745	1216
380	747	1213
381	748	1211
382	750	1208
383	751	1205
384	753	1202
385	754	1200
386	756	1197
387	757	1195
388	759	1192
389	760	1190
390	762	1187
391	764	1185
392	765	1183
393	767	1180
394	769	1178
395	770	1175
396	772	1173
397	774	1171
398	776	1169
399	777	1166
400	779	1164
401	780	1161
402	782	1159
403	784	1157
404	786	1155
405	787	1152
406	789	1150
407	791	1147
408	792	1145
409	794	1143
410	796	1141
411	798	1139
412	799	1136
413	802	1136
414	804	1133
415	806	1132
416	808	1130
417	810	1128
418	813	1127
419	815	1125
420	817	1124
421	819	1122
422	820	1119
423	822	1117
424	824	1116
425	827	1114
426	829	1112
427	831	1111
428	833	1109
429	835	1106
430	837	1105
431	839	1103
432	844	1106
433	847	1105
434	863	1122
435	867	1122
436	873	1125
437	876	1125
438	879	1123
439	880	1121
440	890	1128
441	892	1127
442	903	1136
443	906	1134
444	908	1132
445	910	1131
446	912	1129
447	916	1128
448	918	1127
449	923	1128
450	925	1126
451	927	1124
452	930	1123
453	933	1122
454	936	1121
455	942	1123
456	946	1124
457	949	1123
458	950	1120
459	952	1118
460	954	1116
461	968	1128
462	975	1131
463	981	1133
464	990	1139
465	995	1141
466	1000	1141
467	1004	1142
468	1008	1141
469	1012	1141
470	1015	1140
471	1018	1139
472	1022	1139
473	1026	1139
474	1028	1137
475	1031	1135
476	1034	1134
477	1038	1133
478	1041	1133
479	1045	1132
480	1049	1132
481	1052	1130
482	1054	1128
483	1071	1142
484	1074	1141
485	1078	1140
486	1081	1138
487	1083	1137
488	1085	1134
489	1088	1132
490	1090	1130
491	1093	1128
492	1095	1126
493	1098	1125
494	1102	1124
495	1104	1122
496	1107	1120
497	1109	1117
498	1110	1115
499	1112	1112
500	1114	1109
501	1115	1106
502	1117	1103
503	1119	1101
504	1120	1098
505	1122	1095
506	1123	1092
507	1125	1090
508	1127	1087
509	1129	1084
510	1131	1082
511	1132	1079
512	1134	1077
513	1137	1075
514	1139	1072
515	1140	1070
516	1142	1067
517	1144	1065
518	1146	1062
519	1148	1060
520	1152	1059
521	1154	1057
522	1158	1056
523	1166	1059
524	1203	1089
525	1206	1087
526	1208	1084
527	1211	1082
528	1213	1080
529	1215	1078
530	1217	1075
531	1219	1072
532	1221	1070
533	1223	1067
534	1225	1064
535	1226	1062
536	1228	1059
537	1230	1056
538	1232	1053
539	1233	1050
540	1235	1048
541	1237	1045
542	1239	1043
543	1241	1040
544	1242	1037
545	1244	1034
546	1245	1031
547	1247	1028
548	1248	1025
549	1250	1023
550	1252	1020
551	1253	1017
552	1255	1015
553	1257	1012
554	1259	1009
555	1261	1007
556	1263	1004
557	1264	1001
558	1266	999
559	1268	996
560	1270	994
561	1272	991
562	1274	988
563	1275	986
564	1277	983
565	1279	980
566	1280	978
567	1282	975
568	1284	973
569	1286	970
570	1288	968
571	1290	965
572	1292	963
573	1294	960
574	1296	958
575	1297	955
576	1299	952
577	1301	950
578	1302	947
579	1304	944
580	1305	941
581	1307	939
582	1309	936
583	1310	933
584	1313	931
585	1314	928
586	1316	926
587	1317	923
588	1319	920
589	1321	918
590	1323	915
591	1324	913
592	1326	910
593	1328	907
594	1329	904
595	1331	902
596	1332	899
597	1334	896
598	1335	894
599	1338	892
600	1339	889
601	1341	886
602	1343	884
603	1345	881
604	1346	879
605	1348	876
606	1349	873
607	1351	871
608	1353	868
609	1354	866
610	1356	863
611	1358	861
612	1360	858
613	1362	856
614	1363	853
615	1366	851
616	1367	849
617	1369	846
618	1371	843
619	1372	841
620	1374	839
621	1376	836
622	1378	834
623	1380	831
624	1382	829
625	1383	826
626	1385	824
627	1387	821
628	1389	819
629	1390	816
630	1393	814
631	1396	813
632	1400	811
633	1402	809
634	1405	807
635	1407	805
636	1409	803
637	1411	801
638	1413	798
639	1414	795
640	1416	793
641	1417	790
642	1419	788
643	1421	785
644	1423	783
645	1424	780
646	1427	778
647	1428	776
648	1430	773
649	1432	771
650	1434	769
651	1436	766
652	1437	764
653	1439	761
654	1441	759
655	1442	756
656	1444	754
657	1445	751
658	1447	749
659	1449	746
660	1450	744
661	1452	741
662	1454	739
663	1456	736
664	1458	734
665	1459	732
666	1461	729
667	1463	727
668	1465	724
669	1466	722
670	1468	719
671	1470	717
672	1471	715
673	1473	712
674	1476	711
675	1479	709
676	1482	707
677	1483	704
678	1485	702
679	1487	700
680	1489	697
681	1491	695
682	1493	692
683	1494	690
684	1496	688
685	1498	685
686	1499	683
687	1501	680
688	1503	678
689	1505	676
690	1506	673
691	1508	671
692	1510	668
693	1511	666
694	1513	664
695	1516	662
696	1518	660
697	1519	657
698	1521	655
699	1525	653
700	1528	651
701	1530	649
702	1532	647
703	1534	645
704	1536	643
705	1538	640
706	1541	638
707	1543	636
708	1547	635
709	1551	633
710	1554	631
711	1556	629
712	1559	627
713	1562	625
714	1564	623
715	1568	622
716	1570	619
717	1572	617
718	1575	615
719	1577	613
720	1580	611
721	1582	609
722	1585	607
723	1587	605
724	1590	603
725	1593	601
726	1595	599
727	1597	596
728	1600	594
729	1602	592
730	1604	590
731	1607	588
732	1611	586
733	1614	585
734	1617	583
735	1620	581
736	1628	581
737	1631	579
738	1633	577
739	1636	574
740	1638	572
741	1640	570
742	1642	568
743	1644	565
744	1647	563
745	1649	561
746	1652	559
747	1654	557
748	1656	555
749	1658	552
750	1660	550
751	1663	548
752	1665	546
753	1667	543
754	1669	541
755	1671	539
756	1673	537
757	1675	534
758	1677	532
759	1679	530
760	1680	527
761	1682	525
762	1683	522
763	1685	520
764	1686	518
765	1688	515
766	1690	513
767	1691	511
768	1693	508
769	1695	506
770	1696	503
771	1698	501
772	1700	499
773	1702	497
774	1703	494
775	1705	492
776	1707	489
777	1709	487
778	1712	485
779	1715	483
780	1717	481
781	1720	479
782	1722	477
783	1724	475
784	1726	472
785	1728	470
786	1730	468
787	1732	466
788	1734	463
789	1736	461
790	1739	459
791	1740	457
792	1743	455
793	1745	452
794	1747	450
795	1750	448
796	1752	446
797	1754	444
798	1757	442
799	1759	439
800	1762	437
801	1765	435
802	1769	434
803	1772	432
804	1774	429
805	1776	427
806	1777	425
807	1779	422
808	1781	420
809	1783	418
810	1785	416
811	1786	413
812	1788	411
813	1790	409
814	1792	406
815	1794	404
816	1795	402
817	1797	399
818	1799	397
819	1801	395
820	1802	393
821	1805	390
822	1807	388
823	1808	386
824	1810	384
825	1812	381
826	1814	379
827	1816	377
828	1818	375
829	1820	372
830	1822	370
831	1824	368
832	1825	366
833	1827	363
834	1829	361
835	1831	359
836	1832	356
837	1834	354
838	1836	352
839	1837	350
840	1839	347
841	1842	345
842	1843	343
843	1845	341
844	1847	338
845	1849	336
846	1850	334
847	1852	331
848	1854	329
849	1856	327
850	1858	325
851	1860	323
852	1861	320
853	1863	318
854	1867	316
855	1870	314
856	1872	312
857	1873	310
858	1874	307
859	1876	305
860	1878	303
861	1879	300
862	1881	298
863	1882	296
864	1884	294
865	1886	291
866	1887	289
867	1889	287
868	1890	285
869	1892	282
870	1893	280
871	1895	278
872	1897	276
873	1899	273
874	1900	271
875	1902	269
876	1903	267
877	1905	264
878	1907	262
879	1908	260
880	1910	258
881	1911	255
882	1913	253
883	1915	251
884	1916	249
885	1918	246
886	1919	244
887	1921	242
888	1922	240
889	1924	237
890	1926	235
891	1928	233
892	1929	231
893	1931	229
894	1933	226
895	1934	224
896	1936	222
897	1938	220
898	1940	218
899	1942	215
900	1944	213
901	1945	211
902	1947	209
903	1949	206
904	1950	204
905	1952	202
906	1954	200
907	1956	198
908	1958	196
909	1959	193
910	1961	191
911	1963	189
912	1965	187
913	1966	185
914	1968	182
915	1970	180
916	1972	178
917	1973	176
918	1975	174
919	1977	171
920	1978	169
921	1980	167
922	1981	165
923	1983	163
924	1985	160
925	1987	158
926	1988	156
927	1991	154
928	1994	152
929	1995	150
930	1997	148
931	1999	145
932	2001	143
933	2002	141
934	2005	139
935	2007	137
936	2008	135
937	2010	132
938	2012	130
939	2014	128
940	2016	126
941	2017	124
942	2019	122
943	2020	119
944	2022	117
945	2024	115
946	2025	113
947	2027	111
948	2029	109
949	2032	106
950	2034	104
951	2037	102
952	2038	100
953	2041	98
954	2043	96
955	2045	94
956	2047	91
957	2048	89
958	2050	87
959	2051	85
960	2053	83
961	2055	81
962	2056	79
963	2058	76
964	2059	74
965	2061	72
966	2062	70
967	2064	68
968	2066	66
969	2068	63
970	2070	61
971	2072	59
972	2073	57
973	2075	55
974	2077	53
975	2079	51
976	2080	48
977	2082	46
978	2084	44
979	2085	42
980	2087	40
981	2089	38
982	2090	36
983	2092	34
984	2094	31
985	2096	29
986	2098	27
987	2100	25
988	2102	23
989	2105	21
990	2107	19
991	2109	17
992	2111	14
993	2113	12
994	2114	10
995	2116	8
996	2118	6
997	2119	4
998	2121	2
999	2123	0
